pl_name,planet_status,mass,radius,type,orbital_period,semi_major_axis,star_name,star_distance,star_teff,star_radius,temp_calculated,mag_v,mag_j,mag_k,scale_factor,tsm,esm,alternate_names,updated,observation_type,reference,molecules,albedo,phase_curve,comments,molecules_cleaned,molecule_list
55 Cnc e,Confirmed,0.02703,0.1737,Hot,0.7365478,0.015439,55 Cnc,12.34,5196.0,0.98,1996.209195,5.95,4.768,4.015,1.26,249.7917,71.5094,"TOI-1773 e, HD 75732 e",9/27/22,HST WFC3,2016ApJ...820...99T,"{H"":""Theoretical prediction"",""He"":""Theoretical prediction"",""HCN"":""Theoretical prediction""}""",0,No,"Evidence for a light (H/He) atmosphere, retrieval model with HCN is marginally favored",[],"H, HCN, He"
55 Cnc e,Confirmed,0.02703,0.1737,Hot,0.7365478,0.015439,55 Cnc,12.34,5196.0,0.98,1996.209195,5.95,4.768,4.015,1.26,249.7917,71.5094,"TOI-1773 e, HD 75732 e",9/27/22,Spitzer,2016Natur.532..207D,[],0,Yes,,[],
55 Cnc e,Confirmed,0.02703,0.1737,Hot,0.7365478,0.015439,55 Cnc,12.34,5196.0,0.98,1996.209195,5.95,4.768,4.015,1.26,249.7917,71.5094,"TOI-1773 e, HD 75732 e",9/27/22,G-B: High resolution IR,2406.09225,"{He"":""Upper limit""}""",No,No,,[],"Upper, He"
55 Cnc e,Confirmed,0.02703,0.1737,Hot,0.7365478,0.015439,55 Cnc,12.34,5196.0,0.98,1996.209195,5.95,4.768,4.015,1.26,249.7917,71.5094,"TOI-1773 e, HD 75732 e",9/27/22,G-B: High resolution visible,2203.16856,"{Fe"":""Upper limit"",""Fe+"":""Upper limit"",""K"":""Upper limit"",""Mg"":""Upper limit"",""Ca"":""Upper limit"",""Ca+"":""Upper limit""}""",0,No,,[],"K, Mg, Upper, Ca, Fe"
55 Cnc e,Confirmed,0.02703,0.1737,Hot,0.7365478,0.015439,55 Cnc,12.34,5196.0,0.98,1996.209195,5.95,4.768,4.015,1.26,249.7917,71.5094,"TOI-1773 e, HD 75732 e",9/27/22,CHEOPS,2307.06085,[],No,Yes,,[],
55 Cnc e,Confirmed,0.02703,0.1737,Hot,0.7365478,0.015439,55 Cnc,12.34,5196.0,0.98,1996.209195,5.95,4.768,4.015,1.26,249.7917,71.5094,"TOI-1773 e, HD 75732 e",9/27/22,JWST-NIRCam,2407.12898,[],No,No,Occultation depths in two bandpasses are highly variable.,[],
55 Cnc e,Confirmed,0.02703,0.1737,Hot,0.7365478,0.015439,55 Cnc,12.34,5196.0,0.98,1996.209195,5.95,4.768,4.015,1.26,249.7917,71.5094,"TOI-1773 e, HD 75732 e",9/27/22,G-B: High resolution visible,2308.10378,"{Fe"":""Upper limit""}""",No,No,,[],"Upper, Fe"
55 Cnc e,Confirmed,0.02703,0.1737,Hot,0.7365478,0.015439,55 Cnc,12.34,5196.0,0.98,1996.209195,5.95,4.768,4.015,1.26,249.7917,71.5094,"TOI-1773 e, HD 75732 e",9/27/22,G-B: High resolution IR,2012.02198,"{He"":""No detection""}""",0,No,"No detection of escaping helium, implying lack of H2/He atmosphere",[],"No, He"
55 Cnc e,Confirmed,0.02703,0.1737,Hot,0.7365478,0.015439,55 Cnc,12.34,5196.0,0.98,1996.209195,5.95,4.768,4.015,1.26,249.7917,71.5094,"TOI-1773 e, HD 75732 e",9/27/22,G-B: High resolution visible,2020MNRAS.498.4222T,"{Na"":""Upper limit"",""H"":""Upper limit""}""",0,No,,[],"H, Na, Upper"
55 Cnc e,Confirmed,0.02703,0.1737,Hot,0.7365478,0.015439,55 Cnc,12.34,5196.0,0.98,1996.209195,5.95,4.768,4.015,1.26,249.7917,71.5094,"TOI-1773 e, HD 75732 e",9/27/22,Spitzer,2209.0209,[],No,Yes,Reanalysis. Negligible hot spot offset,[],
AB Pic b,Confirmed,13.5,1.75,Hot Jupiter,,275.0,AB Pic,47.3,5285.0,,1700.0,9.16,7.576,6.981,1.15,,,HD 44627 b,8/21/24,G-B: High resolution IR,2501.05114,"{H2O"":""Detection"",""CO"":""Detection"",""Isotopic fractions"":""Detection"",""Molecular ratios: C\/O, etc..."":""Detection""}""",No,No,Tentative variability on abundaces from night to night. Detection of 12CO and 13CO. C/O and 12C/13C determination.,[],"C, O, H2O, CO"
AF Lep b,Confirmed,3.75,1.3,Hot Jupiter,8875.0,8.98,AF Lep,26.843,6130.0,1.25,800.0,6.3,5.268,4.926,1.15,134.7928,236.8656,,11-12-2024,G-B:Low resolution IR,2502.19961,"{CO"":""Detection"",""H2O"":""Detection""}""",No,No,,[],"H2O, CO"
AF Lep b,Confirmed,3.75,1.3,Hot Jupiter,8875.0,8.98,AF Lep,26.843,6130.0,1.25,800.0,6.3,5.268,4.926,1.15,134.7928,236.8656,,11-12-2024,G-B: High resolution IR,2502.19558,"{H2O"":""Detection"",""CH4"":""Detection""}""",No,No,Direct imaging high-res with VLT/HiRISE,[],"CH4, H2O"
AU Mic b,Confirmed,0.028,0.4273,Warm,8.463446,0.07,AU Mic,9.79,3700.0,0.75,569.5,8.6,5.436,4.529,1.15,1173.3021,60.7676,,7/26/24,G-B: High resolution visible,2020A&A...643A..25P,"{H"":""No detection""}""",No,No,Stellar activity prevents the detection of atoms/molecules via transmission spectra or cross-correlation.,[],"No, H"
AU Mic b,Confirmed,0.028,0.4273,Warm,8.463446,0.07,AU Mic,9.79,3700.0,0.75,569.5,8.6,5.436,4.529,1.15,1173.3021,60.7676,,7/26/24,G-B: High resolution IR,2006.13243,"{He"":""Upper limit""}""",No,No,Upper limit to the equivalent width of 3.7 mA at 99% confidence.,[],"Upper, He"
AU Mic b,Confirmed,0.028,0.4273,Warm,8.463446,0.07,AU Mic,9.79,3700.0,0.75,569.5,8.6,5.436,4.529,1.15,1173.3021,60.7676,,7/26/24,HST-COS,2024RNAAS...8...86F,"{C+"":""Upper limit"",""Si+"":""Upper limit""}""",No,No,"Upper limits for C II, C III, Si II, Si III",[],"Upper, C, Si"
AU Mic b,Confirmed,0.028,0.4273,Warm,8.463446,0.07,AU Mic,9.79,3700.0,0.75,569.5,8.6,5.436,4.529,1.15,1173.3021,60.7676,,7/26/24,G-B: High resolution IR,2406.09225,"{He"":""Upper limit""}""",No,No,,[],"Upper, He"
AU Mic b,Confirmed,0.028,0.4273,Warm,8.463446,0.07,AU Mic,9.79,3700.0,0.75,569.5,8.6,5.436,4.529,1.15,1173.3021,60.7676,,7/26/24,G-B: High resolution IR,2307.0558,"{He"":""Upper limit""}""",No,No,3sigma upper limit of <0.26% with SPIRou,[],"Upper, He"
AU Mic b,Confirmed,0.028,0.4273,Warm,8.463446,0.07,AU Mic,9.79,3700.0,0.75,569.5,8.6,5.436,4.529,1.15,1173.3021,60.7676,,7/26/24,HST STIS,2307.15024,"{H"":""Upper limit""}""",No,No,"Lyα absorption in one visit, although another visit does not show evidence of absorption.",[],"H, Upper"
AU Mic c,Confirmed,0.101,2.79,Warm Jupiter,18.859023,0.119,AU Mic,9.79,3700.0,0.75,436.0,8.6,5.436,4.529,1.15,69319.1477,984.9648,,11/27/24,HST STIS,2505.17197,"{H+"":""No detection""}""",No,No,,[],"No, H"
beta Pic b,Confirmed,11.9,1.65,Temperate Jupiter,7707.0,9.93,beta Pic,19.3,8052.0,1.8,165.3098948,3.86,,,1.15,,,bet Pic b,07-07-2022,G-B: High resolution IR,2501.08445,"{H2O"":""Detection"",""SiO2"":""No detection""}""",No,No,,[],"No, SiO2, H2O"
beta Pic b,Confirmed,11.9,1.65,Temperate Jupiter,7707.0,9.93,beta Pic,19.3,8052.0,1.8,165.3098948,3.86,,,1.15,,,bet Pic b,07-07-2022,G-B: High resolution IR,2405.08867,"{H2O"":""Detection"",""CO"":""Detection""}""",No,No,,[],"H2O, CO"
beta Pic b,Confirmed,11.9,1.65,Temperate Jupiter,7707.0,9.93,beta Pic,19.3,8052.0,1.8,165.3098948,3.86,,,1.15,,,bet Pic b,07-07-2022,G-B: High resolution IR,2311.13527,"{CO"":""Detection"",""H2O"":""Detection"",""Molecular ratios: C/O, etc..."":""Detection""}""",No,No,,[],"C/O, H2O, CO"
CI Tau b,Confirmed,11.6,9.127704933,Jupiter,8.9891,,CI Tau,158.0,,,,13.0,9.48,7.793,1.15,,,,06-12-2019,G-B: High resolution IR,2019ApJ...878L..37F,"{CO"":""Detection""}""",No,No,,[],CO
CoRoT-1 b,Confirmed,1.03,1.49,Hot Jupiter,1.50896848,0.0254,CoRoT-1,460.0,6298.0,1.11,1898.0,13.6,12.462,12.149,1.15,80.9412,71.5519,,12/21/21,G-B: Low resolution visible,2305.19441,"{Rayleigh Scattering"":""Detection""}""",No,No,,[],
CoRoT-1 b,Confirmed,1.03,1.49,Hot Jupiter,1.50896848,0.0254,CoRoT-1,460.0,6298.0,1.11,1898.0,13.6,12.462,12.149,1.15,80.9412,71.5519,,12/21/21,HST WFC3,2206.03517,"{Featureless spectra"":""Detection""}""",0,No,,[],
CoRoT-1 b,Confirmed,1.03,1.49,Hot Jupiter,1.50896848,0.0254,CoRoT-1,460.0,6298.0,1.11,1898.0,13.6,12.462,12.149,1.15,80.9412,71.5519,,12/21/21,HST WFC3,2204.11729,"{H2O"":""Detection"",""VO"":""Detection"",""H-"":""Detection""}""",No,No,,[],"H, H2O, VO"
CoRoT-2 b,Confirmed,3.31,1.465,Hot Jupiter,1.7429964,0.0281,CoRoT-2,300.0,5575.0,0.902,1523.100061,12.57,10.783,10.31,1.15,63.0374,198.1424,,1/25/14,Spitzer,2408.13308,[],0.33,Yes,Dayside and nightside temperatures from phase curve at 4.5 um.,[],
CoRoT-2 b,Confirmed,3.31,1.465,Hot Jupiter,1.7429964,0.0281,CoRoT-2,300.0,5575.0,0.902,1523.100061,12.57,10.783,10.31,1.15,63.0374,198.1424,,1/25/14,Spitzer,2010A&A...511A...3G,[],No,No,Poor heat distribution on the night side of the planet and agree better with an atmosphere free of temperature inversion,[],
CoRoT-2 b,Confirmed,3.31,1.465,Hot Jupiter,1.7429964,0.0281,CoRoT-2,300.0,5575.0,0.902,1523.100061,12.57,10.783,10.31,1.15,63.0374,198.1424,,1/25/14,Spitzer,2011ApJ...726...95D,[],No,No,The spectrum of CoRoT-2 is unusual because the 8 μm contrast is anomalously low.,[],
DS Tuc A b,Confirmed,0.0453,0.5085,Hot,8.138268,0.0795,DS Tuc A,44.12,5597.0,0.872,850.0,9.0,7.122,6.676,1.15,620.8099,42.8198,"HD 222259 A b, TIC 4102214986 b",12-09-2021,G-B: High resolution visible,2103.12922,"{H"":""No detection""}""",No,No,Stellar activity prevents the detection of atoms/molecules via transmission spectra or cross-correlation,[],"No, H"
GJ 1132 b,Confirmed,0.00522,0.1035,Warm,1.628931,0.0154,GJ 1132,12.04,3270.0,0.207,580.0,13.5,9.245,8.322,0.19,34.1894,10.1573,,11/22/23,G-B: High resolution IR,2502.19932,"{Featureless spectra"":""Detection""}""",No,No,,[],
GJ 1132 b,Confirmed,0.00522,0.1035,Warm,1.628931,0.0154,GJ 1132,12.04,3270.0,0.207,580.0,13.5,9.245,8.322,0.19,34.1894,10.1573,,11/22/23,HST WFC3,2021AJ....161..213S,"{HCN"":""Detection"",""CH4"":""Upper limit""}""",0,No,,[],"CH4, Upper, HCN"
GJ 1132 b,Confirmed,0.00522,0.1035,Warm,1.628931,0.0154,GJ 1132,12.04,3270.0,0.207,580.0,13.5,9.245,8.322,0.19,34.1894,10.1573,,11/22/23,HST WFC3,2104.01873,"{HCN"":""No detection""}""",0,No,independent analysis does not confirm claimed HCN from Swain et al. 2021,[],"No, HCN"
GJ 1132 b,Confirmed,0.00522,0.1035,Warm,1.628931,0.0154,GJ 1132,12.04,3270.0,0.207,580.0,13.5,9.245,8.322,0.19,34.1894,10.1573,,11/22/23,G-B: Low resolution visible,2018AJ....156...42D,[],0,No,"No clear, low mean molecular weight atmosphere",[],
GJ 1132 b,Confirmed,0.00522,0.1035,Warm,1.628931,0.0154,GJ 1132,12.04,3270.0,0.207,580.0,13.5,9.245,8.322,0.19,34.1894,10.1573,,11/22/23,JWST-MIRI,2408.1334,[],No,No,Results consistent with no significant atmosphere,[],
GJ 1132 b,Confirmed,0.00522,0.1035,Warm,1.628931,0.0154,GJ 1132,12.04,3270.0,0.207,580.0,13.5,9.245,8.322,0.19,34.1894,10.1573,,11/22/23,JWST-NIRSpec,2310.10711,"{HCN"":""No detection""}""",No,No,Inconsistent results among the two transits observed,[],"No, HCN"
GJ 1214 b,Confirmed,0.02571,0.24463,Warm,1.580404497,0.01411,GJ 1214,13.0,3026.0,0.216,567.0,14.71,9.75,8.782,1.26,432.4873,43.5007,,09-09-2022,JWST-NIRSpec,2410.10186,"{CO2"":""Upper limit"",""Featureless spectra"":""Detection""}""",No,No,"MIRI flat spectrum, but signal of CO2 in NIRISpec. Data can be explained with high metalicity and hazes.",[],"Upper, CO2"
GJ 1214 b,Confirmed,0.02571,0.24463,Warm,1.580404497,0.01411,GJ 1214,13.0,3026.0,0.216,567.0,14.71,9.75,8.782,1.26,432.4873,43.5007,,09-09-2022,G-B:Low resolution IR,2020AJ....160..258K,"{He"":""No detection""}""",0,No,Non-detection above the noise level using Keck/NIRSPEC with a resolving power of R =25000,[],"No, He"
GJ 1214 b,Confirmed,0.02571,0.24463,Warm,1.580404497,0.01411,GJ 1214,13.0,3026.0,0.216,567.0,14.71,9.75,8.782,1.26,432.4873,43.5007,,09-09-2022,G-B:Low resolution IR,2020RNAAS...4..231P,"{He"":""Upper limit""}""",0,No,Upper limit = 0.38 +/- 0.44%. Using archival data from VLT/X-Shooter with a spectral resolution of R=2600.,[],"Upper, He"
GJ 1214 b,Confirmed,0.02571,0.24463,Warm,1.580404497,0.01411,GJ 1214,13.0,3026.0,0.216,567.0,14.71,9.75,8.782,1.26,432.4873,43.5007,,09-09-2022,G-B:Low resolution IR,2019RNAAS...3...24C,"{He"":""Upper limit""}""",0,No,,[],"Upper, He"
GJ 1214 b,Confirmed,0.02571,0.24463,Warm,1.580404497,0.01411,GJ 1214,13.0,3026.0,0.216,567.0,14.71,9.75,8.782,1.26,432.4873,43.5007,,09-09-2022,G-B: Low resolution visible,2012A&A...544A..41M,"{H"":""Upper limit""}""",No,No,"The planet radius observed at Halpha is slightly larger, but not significant",[],"H, Upper"
GJ 1214 b,Confirmed,0.02571,0.24463,Warm,1.580404497,0.01411,GJ 1214,13.0,3026.0,0.216,567.0,14.71,9.75,8.782,1.26,432.4873,43.5007,,09-09-2022,G-B: High resolution IR,2201.1112,"{He"":""Detection""}""",0,No,,[],He
GJ 1214 b,Confirmed,0.02571,0.24463,Warm,1.580404497,0.01411,GJ 1214,13.0,3026.0,0.216,567.0,14.71,9.75,8.782,1.26,432.4873,43.5007,,09-09-2022,JWST-MIRI,2305.0624,"{Featureless spectra"":""Detection""}""",0.51,Yes,,[],
GJ 1214 b,Confirmed,0.02571,0.24463,Warm,1.580404497,0.01411,GJ 1214,13.0,3026.0,0.216,567.0,14.71,9.75,8.782,1.26,432.4873,43.5007,,09-09-2022,HST WFC3,2012ApJ...747...35B,"{Featureless spectra"":""Detection""}""",No,No,Flat transmission spectra from 1.1 to 1.7 μm,[],
GJ 1214 b,Confirmed,0.02571,0.24463,Warm,1.580404497,0.01411,GJ 1214,13.0,3026.0,0.216,567.0,14.71,9.75,8.782,1.26,432.4873,43.5007,,09-09-2022,G-B: High resolution IR,2406.09225,"{He"":""Upper limit""}""",No,No,,[],"Upper, He"
GJ 1214 b,Confirmed,0.02571,0.24463,Warm,1.580404497,0.01411,GJ 1214,13.0,3026.0,0.216,567.0,14.71,9.75,8.782,1.26,432.4873,43.5007,,09-09-2022,G-B: High resolution IR,2307.0558,"{He"":""Upper limit""}""",No,No,3sigma upper limit of <2.92% with SPIRou.,[],"Upper, He"
GJ 1214 b,Confirmed,0.02571,0.24463,Warm,1.580404497,0.01411,GJ 1214,13.0,3026.0,0.216,567.0,14.71,9.75,8.782,1.26,432.4873,43.5007,,09-09-2022,G-B: High resolution IR,2209.03502,"{He"":""Upper limit""}""",No,No,,[],"Upper, He"
GJ 1214 b,Confirmed,0.02571,0.24463,Warm,1.580404497,0.01411,GJ 1214,13.0,3026.0,0.216,567.0,14.71,9.75,8.782,1.26,432.4873,43.5007,,09-09-2022,G-B: Low resolution visible,2010Natur.468..669B,"{Featureless spectra"":""Detection""}""",No,No,,[],
GJ 1214 b,Confirmed,0.02571,0.24463,Warm,1.580404497,0.01411,GJ 1214,13.0,3026.0,0.216,567.0,14.71,9.75,8.782,1.26,432.4873,43.5007,,09-09-2022,HST WFC3,2014Natur.505...69K,"{Featureless spectra"":""Detection""}""",No,No,,[],
GJ 1214 b,Confirmed,0.02571,0.24463,Warm,1.580404497,0.01411,GJ 1214,13.0,3026.0,0.216,567.0,14.71,9.75,8.782,1.26,432.4873,43.5007,,09-09-2022,JWST-NIRSpec,2410.10183,"{CO2"":""Upper limit"",""CH4"":""Upper limit""}""",No,No,,[],"CH4, Upper, CO2"
GJ 1252 b,Confirmed,0.00415,0.1053,Hot,0.5182349,0.00916,GJ 1252,20.38,3458.0,0.391,997.0,12.0,8.697,7.915,0.19,28.0823,13.3663,,8/22/22,Spitzer,2208.09479,"{Featureless spectra"":""Detection""}""",No,No,No atmosphere detection.surface pressure <10 bar,[],
GJ 3090 b,Confirmed,0.01051,0.19,Warm,2.8531054,0.03165,GJ 3090,22.444,3556.0,0.516,692.0,11.0,8.168,7.294,1.26,219.6522,13.3284,TOI-177.01,7/29/22,G-B: High resolution IR,2503.16608,"{H2O"":""Upper limit"",""CH4"":""Upper limit"",""NH3"":""Upper limit"",""H2S"":""Upper limit""}""",No,No,,[],"CH4, NH3, Upper, H2S, H2O"
GJ 3090 b,Confirmed,0.01051,0.19,Warm,2.8531054,0.03165,GJ 3090,22.444,3556.0,0.516,692.0,11.0,8.168,7.294,1.26,219.6522,13.3284,TOI-177.01,7/29/22,JWST-NIRSpec,2504.20428,"{He"":""Detection"",""Molecular ratios: C\/O, etc..."":""Detection""}""",No,No,Stellar activity can explain the NIRISS/SOSS observations. They can only constrain metallicity and C/O values,[],"O, C, He"
GJ 341 b,Confirmed,0.00227,0.0821,Warm,7.576863,0.0608,GJ 341,10.454,3745.0,0.525,540.0,9.465,6.442,5.587,0.19,20.6506,2.3252,"TOI-741.01, TOI-741 b",6/13/24,JWST-NIRCam,2024AJ....167...90K,"{Featureless spectra"":""Detection""}""",No,No,No evidence for atmospheric signals from 3 visits reduced with 3 different pipelines.,[],
GJ 3470 b,Confirmed,0.0437,0.38826,Warm,3.336649,0.03557,GJ 3470,30.7,3652.0,0.48,590.0,12.3,8.794,7.989,1.15,303.8464,28.3126,,7/20/24,G-B: High resolution IR,2404.06648,"{H2O"":""Upper limit""}""",No,No,No evidence of water in the CARMENES dataset,[],"Upper, H2O"
GJ 3470 b,Confirmed,0.0437,0.38826,Warm,3.336649,0.03557,GJ 3470,30.7,3652.0,0.48,590.0,12.3,8.794,7.989,1.15,303.8464,28.3126,,7/20/24,G-B: High resolution IR,2004.12812,"{He"":""Detection""}""",0,No,,[],He
GJ 3470 b,Confirmed,0.0437,0.38826,Warm,3.336649,0.03557,GJ 3470,30.7,3652.0,0.48,590.0,12.3,8.794,7.989,1.15,303.8464,28.3126,,7/20/24,G-B: High resolution IR,1910.0207,"{He"":""Detection""}""",No,No,With the Habitable-zone Planet Finder (HPF) spectrograph,[],He
GJ 3470 b,Confirmed,0.0437,0.38826,Warm,3.336649,0.03557,GJ 3470,30.7,3652.0,0.48,590.0,12.3,8.794,7.989,1.15,303.8464,28.3126,,7/20/24,JWST-NIRCam,2406.0445,"{H2O"":""Detection"",""CO"":""Detection"",""CH4"":""Detection"",""SO2"":""Detection""}""",No,No,,[],"SO2, CH4, H2O, CO"
GJ 3470 b,Confirmed,0.0437,0.38826,Warm,3.336649,0.03557,GJ 3470,30.7,3652.0,0.48,590.0,12.3,8.794,7.989,1.15,303.8464,28.3126,,7/20/24,G-B: High resolution IR,2406.09225,"{He"":""Upper limit""}""",No,No,Tentative detection,[],"Upper, He"
GJ 3470 b,Confirmed,0.0437,0.38826,Warm,3.336649,0.03557,GJ 3470,30.7,3652.0,0.48,590.0,12.3,8.794,7.989,1.15,303.8464,28.3126,,7/20/24,G-B: High resolution IR,2307.0558,"{He"":""No detection""}""",No,No,"3sigma upper limit of <0.63% with SPIRou, not fully consistent with previous detections.",[],"No, He"
GJ 3470 b,Confirmed,0.0437,0.38826,Warm,3.336649,0.03557,GJ 3470,30.7,3652.0,0.48,590.0,12.3,8.794,7.989,1.15,303.8464,28.3126,,7/20/24,G-B: Low resolution visible,2013A&A...559A..32N,"{Rayleigh Scattering"":""Detection""}""",0,No,,[],
GJ 3470 b,Confirmed,0.0437,0.38826,Warm,3.336649,0.03557,GJ 3470,30.7,3652.0,0.48,590.0,12.3,8.794,7.989,1.15,303.8464,28.3126,,7/20/24,G-B: High resolution IR,2403.00608,"{He"":""Detection""}""",No,No,Detection of He absorption (1.75±0.39%) and evidence of variability with GIANO-B,[],He
GJ 3470 b,Confirmed,0.0437,0.38826,Warm,3.336649,0.03557,GJ 3470,30.7,3652.0,0.48,590.0,12.3,8.794,7.989,1.15,303.8464,28.3126,,7/20/24,HST STIS,1812.05119,"{H"":""Detection""}""",No,No,Ly-alpha detection in three transits,[],H
GJ 357 b,Confirmed,0.006566,0.10411,Warm,3.93086,0.033,GJ 357,9.444,3505.0,0.337,525.0,10.91,7.337,6.475,0.19,22.7473,5.965,TOI-562.01,7/21/20,JWST-NIRISS,2505.24462,"{Featureless spectra"":""Detection""}""",No,No,Partial transit observed with JWST NIRISS/SOSS,[],
GJ 367 b,Confirmed,0.001718,0.0526,Hot Sub-earth,0.3219225,0.0069,GJ 367,9.41,3522.0,0.457,1365.0,10.0,,,0.19,,,TOI-731 b,3/24/24,JWST-MIRI,2401.014,"{Featureless spectra"":""Detection""}""",No,No,"GJ 367b is a dark, hot, airless sub-Earth",[],
GJ 436 b,Confirmed,0.05836,0.32519,Warm,2.64394,0.02887,GJ 436,10.2,3684.0,0.464,580.0,10.68,6.9,6.073,1.28,374.454,48.1364,,06-04-2024,JWST-NIRCam,2502.17418,"{CO2"":""Upper limit""}""",0.66,No,,[],"Upper, CO2"
GJ 436 b,Confirmed,0.05836,0.32519,Warm,2.64394,0.02887,GJ 436,10.2,3684.0,0.464,580.0,10.68,6.9,6.073,1.28,374.454,48.1364,,06-04-2024,G-B: High resolution IR,1812.03119,"{He"":""Upper limit""}""",No,No,He analysis in the appendix,[],"Upper, He"
GJ 436 b,Confirmed,0.05836,0.32519,Warm,2.64394,0.02887,GJ 436,10.2,3684.0,0.464,580.0,10.68,6.9,6.073,1.28,374.454,48.1364,,06-04-2024,G-B: High resolution visible,1612.05945,"{H"":""No detection""}""",No,No,Non detection of Halpha line,[],"No, H"
GJ 436 b,Confirmed,0.05836,0.32519,Warm,2.64394,0.02887,GJ 436,10.2,3684.0,0.464,580.0,10.68,6.9,6.073,1.28,374.454,48.1364,,06-04-2024,HST STIS,2015Natur.522..459E,"{H"":""Detection""}""",No,No,Ly-alpha detection,[],H
GJ 436 b,Confirmed,0.05836,0.32519,Warm,2.64394,0.02887,GJ 436,10.2,3684.0,0.464,580.0,10.68,6.9,6.073,1.28,374.454,48.1364,,06-04-2024,G-B: High resolution IR,2406.09225,"{He"":""Upper limit""}""",No,No,,[],"Upper, He"
GJ 436 b,Confirmed,0.05836,0.32519,Warm,2.64394,0.02887,GJ 436,10.2,3684.0,0.464,580.0,10.68,6.9,6.073,1.28,374.454,48.1364,,06-04-2024,HST STIS,1403.6834,"{H"":""Detection""}""",0,No,Lyman alpha detection,[],H
